Min,Avg,Med,Max,Scale,StDev,n,University Name,English Speaking
3.48,3.72,3.81,3.86,4,0.17,5,The College of William and Mary,Y
3.17,3.4,3.37,3.74,4,0.22,7,The Cooper Union,Y
3.08,3.69,3.69,4.24,4,0.26,48,The Hong Kong Polytechnic University,N
8.64,8.75,8.75,8.87,10,0.16,2,The ICFAI University,N
7.34,8.41,8.48,9.43,10,0.82,8,The LNM Institute of Information Technology,N
4,4,4,4,4,0,2,The Maharaja Sayajirao University of Baroda,N
8.68,9.01,8.93,9.41,10,0.37,3,"The NorthCap University, Gurgaon, India",N
86,91,91,96,100,7.07,2,The Open University of Israel,N
64.9,67.45,67.45,70,100,3.61,2,"The Technological Institute of Textiles and Sciences, Bhiwani-Haryana",N
8.67,8.96,9.05,9.16,10,0.26,3,"Thiagarajar College of Engineering, Madurai",N
2.85,3.57,3.66,3.9,4,0.28,54,Tianjin University,N
81.67,87.43,88.36,92.42,100,3.69,12,Tianjin University,N
3,3.43,3.43,3.86,4,0.61,2,Tianjing University,N
3.2,3.46,3.46,3.72,4,0.37,2,Tokyo Institute of Technology,N
84.2,86.03,86.03,87.87,100,2.6,2,Tokyo Institute of Technology,N
4.7,4.85,4.85,5,5,0.21,2,Tomsk State University,N
3,3.62,3.91,3.96,4,0.44,5,Tongji University,N
3.19,4.47,4.57,4.92,5,0.38,67,Tongji University,N
73,88.18,89.56,100,100,5.17,31,Tongji University,N
3.64,3.75,3.75,3.86,4,0.15,2,Transylvania University,N
74.56,81.41,81.93,87.24,100,5.55,4,Tribhuvan University,N
3.51,3.84,3.88,4.1,4,0.25,4,Trinity College,N
3.36,3.61,3.59,3.84,4,0.22,5,Trinity University,N
2.6,3.63,3.69,4,4,0.22,293,Tsinghua University,N
75.78,89.04,89.4,100,100,3.11,649,Tsinghua University,N
3.24,3.72,3.79,4,4,0.23,24,Tufts University,Y
3.35,3.64,3.7,3.85,4,0.19,5,Tulane University,Y
3.64,3.82,3.82,4,4,0.25,2,Tunghai University,N
3.93,4.18,4.31,4.31,5,0.22,3,UNIVERSIDAD DE LOS ANDES,N
3.73,3.77,3.79,3.8,4,0.04,3,Ulsan National Institute of Science and Technology,N
3.16,3.58,3.58,4,4,0.59,2,Umm Al-Qura University,N
3.14,3.63,3.71,3.86,4,0.29,5,Union College,N
3.7,3.8,3.76,3.94,4,0.11,5,United States Air Force Academy,Y
3.14,3.75,3.76,4.03,4,0.25,14,United States Military Academy,Y
2.95,3.57,3.67,4,4,0.49,4,United States Naval Academy,Y
9.36,9.45,9.45,9.53,10,0.12,2,Universidad Anahuac,N
9.14,9.32,9.32,9.49,10,0.25,2,Universidad AutÃ³noma de Madrid,N
5,5.78,5.8,6.5,7,0.54,9,Universidad Catolica de Chile,N
8.37,9.15,9.12,10,10,0.69,4,Universidad Nacional Autonoma de Mexico,N
3.5,3.57,3.57,3.65,4,0.1,2,Universidad Nacional de Ingenieria,N
4.47,4.67,4.67,4.86,5,0.28,2,Universidad Simon Bolivar,N
6.18,7.14,7.33,7.92,10,0.88,3,"Universidad Tecnologica Nacional, Buenos Aires",N
9.27,9.34,9.34,9.42,10,0.11,2,Universidad de Buenos Aires,N
87,93.3,93.3,99.6,100,8.91,2,Universidad de Sonora,N
3.71,4.32,4.23,4.89,5,0.45,7,Universidad de los Andes,N
3.6,4.35,4.4,4.91,5,0.58,5,"Universidade Federal de Minas Gerais, Brazil",N
64.21,71.53,71.53,78.85,100,10.35,2,Universidade Federal de Uberlandia,N
7.8,8.32,8.32,8.84,10,0.74,2,Universidade Federal do Rio Grande do Norte,N
8,8.89,8.66,10,10,1.02,3,Universidade Federal do Rio Grande do Sul,N
7.4,8.53,9.1,9.1,10,0.98,3,Universidade Federal do Rio de Janeiro,N
3.74,4.23,4.28,4.65,5,0.32,5,Universidade de Brasilia,N
7.2,7.74,7.73,8.3,10,0.45,4,Universidade de Sao Paulo,N
3.04,3.46,3.46,3.87,4,0.59,2,Universitas Bina Nusantara,N
3.89,3.98,4,4,4,0.05,5,University College London,N
68,77.49,79.44,83,100,5.32,6,University College London,N
7.24,7.99,8.33,8.4,10,0.65,3,University Of Khartoum,N
8.54,9.14,9.28,9.47,10,0.41,4,University Of Science Ho Chi Minh City,N
3.5,3.63,3.64,3.76,4,0.13,3,University of Akron,Y
3.65,3.88,4,4,4,0.2,3,University of Alabama,Y
3.97,3.99,3.99,4,4,0.02,2,"University of Alabama, Huntsville",Y
3.1,3.62,3.7,3.97,4,0.29,9,University of Alberta,Y
2.58,3.73,3.81,4,4,0.35,17,University of Arizona,Y
2.8,3.48,3.61,3.89,4,0.5,4,University of Arkansas,Y
3.31,3.52,3.54,3.71,4,0.2,3,University of Arkansas at Little Rock,Y
7,8.45,8.57,9.92,10,0.76,19,University of Athens,N
7.51,7.87,7.7,8.75,9,0.5,5,"University of Auckland, New Zealand",Y
55,57.87,57.87,60.74,100,4.06,2,University of Bath,N
8.7,9.12,9.24,9.42,10,0.37,3,University of Belgrade,N
80,83.6,83.2,87.6,100,3.82,3,University of Birmingham,N
3.85,4.2,4.3,4.33,4,0.23,4,University of British Columbia,Y
68,86.75,86.65,96.2,100,6.53,38,University of British Columbia,Y
9.75,9.84,9.84,9.94,10,0.13,2,University of Bucharest,N
53.75,60.56,53.93,74,100,11.64,3,University of Calcutta,N
2.5,3.43,3.7,3.85,4,0.55,5,University of Calgary,N
2.31,3.69,3.76,4,4,0.27,388,"University of California, Berkeley",Y
2.97,3.7,3.79,4,4,0.29,55,"University of California, Davis",Y
2.75,3.71,3.79,4,4,0.26,65,"University of California, Irvine",Y
2.58,3.71,3.8,4,4,0.26,220,"University of California, Los Angeles",Y
3.57,3.8,3.87,3.99,4,0.17,6,"University of California, Riverside",Y
2.86,3.73,3.8,4,4,0.22,264,"University of California, San Diego",Y
1.9,3.72,3.83,4,4,0.32,62,"University of California, Santa Barbara",Y
3.2,3.61,3.63,3.98,4,0.26,19,"University of California, Santa Cruz",Y
1,2.73,3.3,3.9,4,1.53,3,University of Cambridge,Y
67,75.81,77,82.22,100,7.56,4,University of Cambridge,Y
90.77,90.94,90.94,91.1,100,0.23,2,University of Campinas,N
2.89,3.63,3.66,4,4,0.34,18,University of Central Florida,Y
2.63,3.61,3.68,3.97,4,0.27,56,University of Chicago,Y
5.7,6.3,6.25,7,7,0.55,4,University of Chile,N
3.51,3.71,3.72,3.89,4,0.14,13,University of Chinese Academy of Sciences,N
3.26,3.67,3.68,4,4,0.31,5,University of Cincinnati,Y
14,16.3,17.2,17.71,20,2.01,3,University of Coimbra,N
3.64,3.79,3.76,4,4,0.16,4,"University of Colombo, Sri Lanka",N
2.4,3.53,3.64,3.99,4,0.43,17,University of Colorado at Boulder,N
2.97,3.75,3.77,3.98,4,0.27,15,University of Connecticut,N
7.32,8.13,7.41,9.66,10,1.33,3,University of Crete,N
7.55,8.37,8.53,9.04,10,0.76,3,University of Cyprus,N
3,3.69,3.89,3.97,4,0.46,4,University of Dayton,Y
3.2,3.72,3.79,3.9,4,0.24,7,University of Delaware,Y
8.34,8.79,8.85,9.11,10,0.33,4,University of Delhi,N
65.22,78.03,77.87,100,100,7.7,34,University of Delhi,N
3.1,3.65,3.75,4,4,0.4,4,University of Denver,Y
3.11,3.46,3.46,3.81,4,0.49,2,University of Detroit,Y
3.64,3.81,3.83,3.96,4,0.16,3,University of Dhaka,N
6.56,6.78,6.78,7,10,0.31,2,University of Economics Ho Chi Minh City,N
3.25,3.8,3.88,4,4,0.25,8,University of Edinburgh,Y
64.5,76.09,78.82,83,100,6.15,14,University of Edinburgh,Y
2.95,3.81,3.88,4,4,0.2,113,University of Electronic Science and Technology of China,N
84.8,88.96,88.91,100,100,3.83,15,University of Electronic Science and Technology of China,N
3.19,3.6,3.59,3.95,4,0.24,7,"University of Engineering and Technology, Lahore",N
72.25,73.88,72.5,76.88,100,2.6,3,"University of Engineering and Technology, Lahore",N
3.81,3.81,3.81,3.81,4,0.01,2,University of Evansville,N
3.26,3.79,3.8,4.99,4,0.38,19,University of Florida,Y
3.13,3.76,3.87,3.95,4,0.26,9,University of Georgia,Y
2.82,3.37,3.42,3.88,4,0.53,3,University of Ghana,N
82,92.3,94,97.79,100,6.09,5,University of Haifa,N
2.25,3.66,3.68,4.1,4,0.26,106,University of Hong Kong,N
3.41,3.64,3.63,3.9,4,0.21,4,University of Houston,Y
3.51,3.63,3.63,3.76,4,0.18,2,University of Houston - Downtown,Y
3.31,3.6,3.49,4,4,0.36,3,University of Houston-Clear Lake,Y
9.77,9.82,9.82,9.87,10,0.07,2,"University of Iasi, Romania",N
4.9,5.55,5.55,6.2,7,0.92,2,University of Ibadan,N
7.73,8.63,8.65,9.48,10,0.97,4,University of Iceland,N
2.39,3.78,3.87,4,4,0.25,414,University of Illinois at Urbana-Champaign,Y
3.36,3.6,3.52,4,4,0.28,4,"University of Illinois, Chicago",Y
3.59,3.79,3.8,3.99,4,0.2,4,University of Indonesia,N
3.52,3.75,3.7,4,4,0.16,7,University of International Business and Economics,N
88,89,88.51,91,100,1.41,4,University of International Business and Economics,N
3.33,3.61,3.63,3.92,4,0.21,5,University of International Relations,N
3.58,3.84,3.82,4.13,4,0.15,11,University of Iowa,Y
15.03,16.57,16.57,18.12,20,2.18,2,University of Isfahan,N
3.04,3.48,3.52,3.79,4,0.28,5,University of Jordan,N
3,3.71,3.94,4,4,0.42,6,University of Kansas,Y
1.1,1.55,1.55,2,-6,0.64,2,University of Karlsruhe,N
2.9,3.7,3.81,4,4,0.35,16,University of Kentucky,Y
7.9,8.07,7.98,8.32,10,0.22,3,University of Kerala,N
71,73.65,73.65,76.3,100,3.75,2,University of Kerala,N
4.46,4.53,4.53,4.59,5,0.09,2,University of Lagos,N
9.67,9.69,9.69,9.71,10,0.03,2,University of Latvia,N
3.76,3.84,3.84,3.93,4,0.12,2,University of Leeds,N
15,15.5,15.5,16,20,0.71,2,University of Lisbon,N
73,83.92,85,93.75,100,10.42,3,University of Liverpool,N
9.54,9.77,9.8,9.96,10,0.21,3,University of Ljubljana,N
64.12,71.51,72.3,78.1,100,7.02,3,University of London,Y
3.8,3.81,3.81,3.83,4,0.02,2,University of Louisville,N
3.28,3.61,3.5,3.92,4,0.28,5,University of Macau,N
72.54,79.68,80,86.5,100,6.99,3,University of Madras,N
3.62,3.78,3.85,3.88,4,0.14,3,University of Maine,Y
76.7,79.85,79.85,83,100,4.45,2,University of Manchester,Y
3.44,3.65,3.62,3.95,4,0.2,5,University of Maryland,Y
3.13,3.79,3.92,4,4,0.28,14,"University of Maryland, Baltimore County",Y
3,3.7,3.81,4,4,0.28,72,"University of Maryland, College Park",Y
3.79,3.87,3.88,3.92,4,0.06,4,University of Massachusetts,Y
3.9,3.95,3.95,4,4,0.07,2,University of Massachusetts Lowell,Y
2.9,3.71,3.86,4,4,0.31,35,University of Massachusetts at Amherst,Y
73,82.44,82.55,92.16,100,5.61,8,University of Melbourne,Y
3.49,3.7,3.66,3.99,4,0.21,4,University of Memphis,Y
3.58,3.78,3.77,3.99,4,0.14,9,University of Miami,Y
3.47,3.85,3.89,4,4,0.15,39,University of Michigan,Y
3.3,3.58,3.55,3.8,4,0.16,19,University of Michigan - Shanghai Jiao Tong University Joint Institute,N
2.73,3.83,3.89,4,4,0.19,330,"University of Michigan, Ann Arbor",Y
2.8,3.77,3.87,4,4,0.35,11,University of Minnesota,Y
3.75,3.89,3.94,4,4,0.1,5,"University of Minnesota, Duluth",Y
2.87,3.51,3.57,3.95,4,0.39,5,"University of Minnesota, Morris",Y
3.2,3.8,3.85,4,4,0.2,44,"University of Minnesota, Twin Cities",Y
3.1,3.81,3.9,4,4,0.26,12,University of Missouri,Y
3.65,3.75,3.75,3.85,4,0.14,2,"University of Missouri, Kansas City",Y
3.71,3.85,3.9,3.94,4,0.12,3,University of Montreal,N
3.99,4.06,4.06,4.13,4,0.1,2,"University of Moratuwa, Sri Lanka",N
6.85,8.66,8.7,9.87,10,0.75,68,University of Mumbai,N
54,67.66,67,82.48,100,6.42,31,University of Mumbai,N
2.99,3.76,3.86,3.98,4,0.32,9,University of Nebraska,Y
3.5,3.78,3.84,3.94,4,0.2,4,University of Nevada,Y
3.35,3.72,3.76,4,4,0.27,4,University of New Hampshire,Y
4.01,4.03,4.03,4.04,4,0.02,2,University of New Mexico,Y
3.35,3.51,3.5,3.67,4,0.16,3,University of New Orleans,Y
3.75,3.77,3.77,3.8,4,0.04,2,University of New South Wales,Y
77.55,82.98,82.98,88.41,100,7.68,2,University of New South Wales,Y
2.82,3.72,3.82,4,4,0.27,50,University of North Carolina,Y
2.53,3.38,3.49,4,4,0.64,4,"University of North Carolina, Charlotte",Y
3.83,3.92,3.92,4,4,0.12,2,University of North Dakota,Y
3.2,3.71,3.79,3.99,4,0.23,24,University of Notre Dame,Y
3.14,3.84,3.92,4,4,0.21,20,University of Nottingham,N
68,78.38,77.5,90,100,8.34,12,University of Nottingham,N
3.2,3.71,3.78,4,4,0.29,10,University of Oklahoma,Y
4.02,4.06,4.06,4.11,4,0.06,2,University of Oregon,Y
8.9,9.23,9.2,9.58,10,0.34,3,University of Ottawa,N
66,74.32,74.5,83,100,6.66,5,University of Oxford,Y
7.82,8.62,8.77,9.1,10,0.43,8,University of Patras,N
2.79,3.68,3.75,4,4,0.3,48,University of Pennsylvania,Y
28.2,28.3,28.3,28.4,30,0.14,2,University of Pisa,N
2.74,3.69,3.8,4,4,0.31,39,University of Pittsburgh,Y
3.3,3.68,3.74,4,4,0.35,3,University of Pittsburgh at Johnstown,Y
3.45,3.73,3.73,4,4,0.39,2,University of Portland,Y
17,18,18,19,20,1,3,"University of Porto, Portugal",N
3,3.59,3.67,4,4,0.28,12,University of Puerto Rico,N
3.76,3.85,3.85,3.95,4,0.13,2,University of Puget Sound,Y
1,3.22,3.68,3.88,4,1.01,7,"University of Pune, India",N
8.73,8.82,8.82,8.92,10,0.13,2,"University of Pune, India",N
55,67.97,68.8,78.58,100,5.51,41,"University of Pune, India",N
3.58,3.84,3.86,4,4,0.15,9,University of Richmond,Y
2.48,3.71,3.79,4,4,0.3,79,University of Rochester,Y
3.74,3.78,3.78,3.81,4,0.05,2,University of San Diego,Y
3.83,3.83,3.83,3.84,4,0.01,2,University of San Francisco,Y
7.8,7.85,7.85,7.9,10,0.07,2,University of Sao Paulo,N
3.46,3.69,3.69,3.91,4,0.32,2,University of Science and Technology Beijing,N
3.14,3.31,3.19,3.74,4,0.29,4,"University of Science and Technology of China, Beijing",N
2.4,3.64,3.7,4.18,4,0.3,186,"University of Science and Technology of China, Hefei",N
80,85.24,85.12,90.6,100,2.46,16,"University of Science and Technology of China, Hefei",N
2.87,3.62,3.7,3.85,4,0.25,13,"University of Science and Technology, Beijing",N
93,93.4,93.4,93.8,100,0.57,2,"University of Science and Technology, Beijing",N
3.2,3.41,3.41,3.61,4,0.29,2,University of Scranton,Y
3.52,3.62,3.61,3.81,4,0.12,5,University of Shanghai for Science and Technology,N
83,86.5,86.5,90,100,4.95,2,University of Shanghai for Science and Technology,N
3.7,3.91,3.93,4,4,0.11,9,University of South Carolina,Y
3.12,3.61,3.66,4,4,0.39,4,University of South Florida,Y
2.91,3.74,3.75,4,4,0.21,77,University of Southern California,Y
3.9,3.95,3.95,3.99,4,0.06,2,University of St. Thomas,Y
71,81.17,78.5,90.6,100,7.3,9,University of Sydney,Y
13.29,16.97,17.07,18.69,20,1.48,21,University of Tehran,N
82.25,85.12,85.12,88,100,4.07,2,University of Tehran,N
3.35,3.81,3.91,4,4,0.24,8,"University of Tennessee, Knoxville",Y
3.76,3.9,3.95,4,4,0.13,3,University of Texas,Y
3.8,3.9,3.9,4,4,0.14,2,"University of Texas, Arlington",Y
2.26,3.72,3.79,4,4,0.28,103,"University of Texas, Austin",Y
3.1,3.71,3.76,3.99,4,0.28,16,"University of Texas, Dallas",Y
3.8,3.9,3.9,4,4,0.14,2,"University of Texas, San Antonio",Y
8.06,8.64,8.64,9.22,10,0.82,2,University of Thessaly at Volos,N
2.27,2.44,2.44,2.61,3,0.24,2,University of Tokyo,N
3.09,3.52,3.6,3.89,4,0.25,15,University of Tokyo,N
1.82,3.7,3.81,4,4,0.35,143,University of Toronto,Y
3.21,3.69,3.83,4,4,0.33,8,University of Tulsa,Y
8.12,8.21,8.21,8.3,10,0.12,2,University of Twente,N
3.1,3.66,3.73,3.98,4,0.27,14,University of Utah,Y
3.65,3.81,3.81,3.96,4,0.13,4,University of Vermont,Y
2.16,3.64,3.73,3.99,4,0.33,97,University of Virginia,Y
4.04,4.37,4.37,4.69,5,0.28,4,University of Warsaw,N
3.87,3.87,3.87,3.88,4,0,2,University of Warwick,N
65.4,66.72,66.72,68.05,100,1.87,2,University of Warwick,N
3.03,3.72,3.78,4,4,0.19,140,University of Washington,Y
3.56,3.78,3.83,3.95,4,0.17,5,University of Waterloo,Y
62.12,88.59,89.77,100,100,6.04,90,University of Waterloo,Y
3.69,3.8,3.77,3.94,4,0.13,3,University of Wisconsin,Y
3.39,3.5,3.5,3.62,4,0.16,2,University of Wisconsin - La Crosse,Y
3.32,3.67,3.81,3.88,4,0.31,3,"University of Wisconsin, Eau Claire",Y
2.7,3.78,3.83,4,4,0.25,113,"University of Wisconsin, Madison",Y
2.67,3.65,3.88,3.95,4,0.55,5,University of Wyoming,Y
4.07,4.61,4.71,4.98,5,0.34,6,University of Zagreb,N
5.51,5.65,5.65,5.8,10,0.21,2,University of Zurich,N
3.81,3.88,3.88,3.96,4,0.11,2,University of the Virgin Islands,N
3.41,3.5,3.5,3.58,4,0.12,2,Ursinus College,N
3.63,3.74,3.74,3.85,4,0.16,2,Utah State University,Y
3.7,3.73,3.73,3.76,4,0.04,2,Utah Valley University,Y
65.5,73.85,73.67,81,100,5.45,12,Uttar Pradesh Technical University,N
71.76,75.88,75.88,80,100,5.83,2,Uttarakhand Technical University,N
7.31,8.7,8.81,10,10,0.58,54,VIT University,N
8.7,8.71,8.71,8.72,10,0.01,2,VNR Vignana Jyothi Institute of Engineering and Technology,N
3.7,3.84,3.84,3.99,4,0.2,2,Valparaiso University,N
3,3.71,3.86,4,4,0.3,35,Vanderbilt University,Y
2.9,3.64,3.74,3.98,4,0.29,14,Vassar College,Y
7.9,8.12,8.12,8.33,10,0.3,2,Veer Surendra Sai University of Technology,N
6.2,8.71,8.89,9.82,10,0.7,50,Veermata Jijabai Technological Institute,N
7.14,8.85,8.9,9.89,10,0.49,221,Vellore Institute of Technology,N
7,7.93,7.93,8.87,10,1.32,2,"Vidyalankar Institute of Technology, Mumbai",N
56.6,64.51,66.78,71.67,100,7.12,5,"Vidyalankar Institute of Technology, Mumbai",N
1.08,1.18,1.18,1.28,-6,0.14,2,Vienna University of Technology,N
3.51,3.79,3.88,3.99,4,0.21,6,Villanova University,Y
3.03,3.62,3.84,4,4,0.52,3,Virginia Commonwealth University,Y
2.69,3.55,3.65,4,4,0.37,27,Virginia Polytechnic Institute and State University,Y
7.3,8.83,8.93,9.83,10,0.74,25,"Vishwakarma Institute of Technology, Pune",N
6.58,8.29,8.19,9.88,10,0.81,27,Visvesvaraya National Institute of Technology,N
2.47,3.56,3.84,3.94,4,0.62,5,Visvesvaraya Technological University,N
6.74,8.58,8.49,9.8,10,0.76,33,Visvesvaraya Technological University,N
61.82,75.24,76.09,83.88,100,6.1,41,Visvesvaraya Technological University,N
63.24,73.86,74,82.43,100,5.55,9,Visveswaraiah Technological University,N
6.2,8.76,8.98,9.85,10,0.91,12,"Visveswaraiah Technological University, Belgaum",N
58.3,75.42,76.08,87,100,7.26,35,"Visveswaraiah Technological University, Belgaum",N
7.31,8.62,8.62,9.55,10,0.72,13,Vivekanand Education Society's Institute of Technology,N
76.92,79.22,80.13,80.62,100,2.01,3,Vivekanand Education Society's Institute of Technology,N
4,4.5,4.5,5,5,0.71,2,Voronezh State University,N
3.43,3.82,3.88,3.99,4,0.18,13,Wake Forest University,Y
3.87,3.92,3.92,3.97,4,0.07,2,Wartburg College,N
3.32,3.57,3.52,3.93,4,0.28,4,"Waseda University, Japan",N
3.1,3.55,3.55,4,4,0.64,2,Washington State University,Y
3.33,3.7,3.81,4,4,0.23,7,Washington University,Y
3.13,3.78,3.84,4,4,0.23,45,Washington University in St. Louis,Y
3.37,3.57,3.57,3.77,4,0.29,2,Washington and Jefferson College,Y
3.29,3.66,3.71,3.95,4,0.3,4,Washington and Lee University,Y
3.31,3.67,3.72,3.93,4,0.27,4,Wayne State University,N
3.6,3.65,3.65,3.7,4,0.07,2,Weber State University,N
3.17,3.53,3.51,3.98,4,0.26,15,Wellesley College,Y
2.54,2.97,3.07,3.29,4,0.39,3,Wentworth Institute of Technology,N
3.51,3.82,3.76,4.12,4,0.18,16,Wesleyan University,Y
7.6,8.59,8.66,10,10,0.53,40,West Bengal University of Technology,N
2.98,3.72,3.87,3.98,4,0.34,8,West Virginia University,Y
3.27,3.47,3.38,3.77,4,0.26,3,Western Kentucky University,Y
3.81,3.83,3.83,3.84,4,0.02,2,Western Michigan University,Y
3.7,3.79,3.79,3.89,4,0.13,2,Western Oregon State College,Y
3.43,3.74,3.78,3.97,4,0.24,5,Western Washington University,Y
3.87,3.91,3.92,3.94,4,0.03,4,Westminster College,Y
2.81,3.47,3.59,3.89,4,0.47,4,Wheaton College,Y
3.09,3.19,3.19,3.3,4,0.15,2,Whitman College,N
3.79,3.85,3.85,3.91,4,0.09,2,Whitworth University,N
3.6,3.8,3.8,4,4,0.28,2,Widener University,N
3.35,3.78,3.85,4.07,4,0.19,23,Williams College,Y
3.66,3.74,3.74,3.81,4,0.11,2,Winona State University,N
3.1,3.79,3.87,4,4,0.22,18,Worcester Polytechnic Institute,N
3.72,3.83,3.83,3.93,4,0.15,2,Wright State University,N
2.83,3.69,3.75,4,4,0.22,149,Wuhan University,N
80,86.93,87.5,92.84,100,3.54,37,Wuhan University,N
3.28,3.62,3.7,3.87,4,0.24,7,Wuhan University of Technology,N
85,88.51,89.33,91.2,100,3.18,3,Wuhan University of Technology,N
3.59,3.79,3.79,3.98,4,0.28,2,Xavier University,N
2.24,3.44,3.52,3.96,4,0.52,10,Xi'an Jiaotong University,N
80,86.1,86.78,93.67,100,6.08,5,Xi'an Jiaotong University,N
3,3.57,3.65,3.98,4,0.29,25,"Xi'an Jiaotong University, China",N
75.23,87.62,87.55,100,100,4.1,43,"Xi'an Jiaotong University, China",N
3.52,3.73,3.75,3.92,4,0.2,3,Xi'an Jiaotong-Liverpool University,N
67,73.62,71.75,84,100,7.41,4,Xi'an Jiaotong-Liverpool University,N
3,3.57,3.6,3.9,4,0.21,36,Xiamen University,N
75,83.85,86.05,88.3,100,6.02,4,Xiamen University,N
3.34,3.57,3.36,4,4,0.38,3,Xiamen University Malaysia,N
2.1,3.5,3.6,4,4,0.46,16,Xidian University,N
80,87.99,87.35,100,100,4.76,16,Xidian University,N
8.88,9.16,9.16,9.45,10,0.4,2,"YMCA University of Science and Technology, Faridabad",N
2.64,3.71,3.79,4,4,0.29,45,Yale University,Y
3.6,3.8,3.83,3.95,4,0.15,4,Yeshiva University,N
3.47,3.81,3.79,4.24,4,0.21,16,Yonsei University,N
3.27,3.84,3.93,4.22,4,0.33,14,"Yonsei University, Seoul, Korea",N
8.4,8.57,8.5,8.81,9,0.21,3,York University,Y
3.96,3.98,3.98,4,4,0.02,4,Youngstown State University,Y
3.16,3.51,3.49,3.96,4,0.35,6,Yuan Ze University,N
3,3.21,3.23,3.4,4,0.2,3,Yunnan University,N
3.8,3.9,3.9,3.99,4,0.13,2,Zhejiang Gongshang University,N
87.83,88.92,88.92,90.01,100,1.54,2,Zhejiang Gongshang University,N
3.27,3.33,3.33,3.38,4,0.08,2,Zhejiang Normal University,N
88,88.12,88.12,88.23,100,0.16,2,Zhejiang Normal University,N
3.07,3.81,3.85,4,4,0.16,494,Zhejiang University,N
3.5,3.99,4.04,4.39,5,0.38,5,Zhejiang University,N
78.91,88.73,88.95,92.7,100,2.49,41,Zhejiang University,N
3.82,3.91,3.91,3.99,4,0.12,2,Zhejiang University City College,N
3.7,3.85,3.91,3.95,4,0.13,3,Zhejiang University of Technology,N
4.05,4.53,4.53,5,5,0.67,2,Zhejiang University of Technology,N
83,87.27,87.05,91,100,3.07,8,Zhejiang University of Technology,N
3.4,3.68,3.8,3.84,4,0.24,3,Zhengzhou University,N
3.14,3.64,3.75,3.81,4,0.28,5,Zhongnan University of Economics and Law,N
